symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME211112C00100000||||113.00|113.00|35|0.00|0.0000|-2|0|0|0|1.0000|0.0000|0.0110|-0.0003|0.0000||117.15|28|113.15|28
GME211112P00100000|0.02|0.02|0.01|0.03|0.02|35|-0.01|-0.3333|523|731|1|21|0.0000|0.0000|0.0000|0.0000|0.0000||0.02|2|0.01|6
GME211112C00110000||||||34|||0|0|0|0|1.0000|0.0000|0.0121|-0.0003|0.0000||107.05|27|102.85|45
GME211112P00110000||||0.05|0.05|34|0.00|0.0000|4|29|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.05|5|0.01|14
GME211112C00115000||||||33|||0|0|0|0|1.0000|0.0000|0.0126|-0.0003|0.0000||102.15|28|97.70|45
GME211112P00115000||||0.07|0.07|33|0.00|0.0000|0|82|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.04|5|0.01|20
GME211112C00120000||||62.35|62.35|32|0.00|0.0000|0|3|0|0|0.9987|0.0001|0.0590|-0.0054|0.0020||97.15|28|93.15|28
GME211112P00120000|0.07|0.07|0.04|0.06|0.04|32|-0.02|-0.3333|4|74|1|2|0.0000|0.0000|0.0000|0.0000|0.0000||0.09|17|0.02|28
GME211112C00125000||||83.80|83.80|31|0.00|0.0000|0|2|0|0|1.0000|0.0000|0.0137|-0.0003|0.0000||92.15|28|88.15|28
GME211112P00125000||||0.06|0.06|31|0.00|0.0000|6|19|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.10|18|0.02|27
GME211112C00130000||||69.39|69.39|30|0.00|0.0000|0|2|0|0|1.0000|0.0000|0.0142|-0.0003|0.0000||87.15|28|83.65|22
GME211112P00130000||||0.07|0.07|30|0.00|0.0000|15|62|0|0|-0.0036|0.0003|-0.0004|-0.0122|0.0051||0.13|25|0.02|35
GME211112C00135000||||103.56|103.56|29|0.00|0.0000|0|0|0|0|1.0000|0.0000|0.0148|-0.0004|0.0000||82.20|28|77.75|28
GME211112P00135000||||0.12|0.12|29|0.00|0.0000|2|610|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.43|70|0.03|86
GME211112C00140000||||76.07|76.07|28|0.00|0.0000|-73|44|0|0|1.0000|0.0000|0.0153|-0.0004|0.0000||77.20|29|73.70|18
GME211112P00140000|0.15|0.15|0.15|0.13|0.15|28|0.02|0.1538|5|380|1|1|0.0000|0.0000|0.0000|0.0000|0.0000||0.15|18|0.09|22
