DT|TM|REBATE|FEE|AVAIL
2021.04.30|09:45:03|-0.7045|0.7545|100
2021.04.30|10:00:03|-0.7045|0.7545|100
2021.04.30|10:15:03|-0.7045|0.7545|100
2021.04.30|10:30:03|-0.7045|0.7545|100
2021.04.30|10:45:03|-0.7045|0.7545|100
2021.04.30|11:00:03|-0.7045|0.7545|100
2021.04.30|11:15:04|-0.7045|0.7545|100
2021.04.30|11:30:03|-0.7045|0.7545|100
2021.04.30|11:45:03|-0.7045|0.7545|100
2021.04.30|12:00:03|-0.7045|0.7545|100
2021.04.30|12:15:03|-0.7045|0.7545|100
2021.04.30|12:30:03|-0.7045|0.7545|100
2021.04.30|12:45:03|-0.7045|0.7545|100
2021.04.30|13:00:03|-0.7045|0.7545|100
2021.04.30|13:15:03|-0.7045|0.7545|100
2021.04.30|13:30:03|-0.7045|0.7545|100
2021.04.30|13:45:03|-0.7045|0.7545|100
2021.04.30|14:00:03|-0.7045|0.7545|100
2021.04.30|14:15:03|-0.7045|0.7545|100
2021.04.30|14:30:03|-0.7045|0.7545|100
2021.04.30|14:45:03|-0.7045|0.7545|100
2021.04.30|15:00:03|-0.7045|0.7545|100
2021.04.30|15:15:05|-0.7045|0.7545|100
2021.04.30|15:30:03|-0.7045|0.7545|100
2021.04.30|15:45:03|-0.7045|0.7545|100
2021.04.30|16:00:03|-0.7045|0.7545|100
2021.04.30|16:15:03|-0.7045|0.7545|100
2021.04.30|16:30:03|-0.7045|0.7545|100
2021.04.30|16:45:03|-0.7045|0.7545|100
2021.04.30|17:00:03|-0.7045|0.7545|100
2021.04.30|17:15:03|-0.7045|0.7545|100
2021.04.30|17:30:04|-0.7045|0.7545|100
2021.04.30|17:45:03|-0.7045|0.7545|100
2021.04.30|18:00:03|-0.7045|0.7545|100
2021.04.30|18:15:03|-0.7045|0.7545|100
2021.04.30|18:30:03|-0.7045|0.7545|100
2021.04.30|18:45:03|-0.7045|0.7545|100
2021.04.30|19:00:03|-0.7045|0.7545|100
2021.04.30|19:15:03|-0.7045|0.7545|100
2021.04.30|19:30:03|-0.7045|0.7545|100
2021.04.30|19:45:03|-0.7045|0.7545|100
2021.04.30|20:00:03|-0.7045|0.7545|100
2021.04.30|20:15:03|-0.7045|0.7545|100
2021.04.30|20:30:03|-0.7045|0.7545|100
2021.04.30|20:45:03|-0.7045|0.7545|100
2021.04.30|21:00:03|-0.7045|0.7545|100
2021.04.30|21:15:02|-0.7045|0.7545|100
2021.04.30|21:30:03|-0.7045|0.7545|100
2021.04.30|21:45:03|-0.7045|0.7545|100
2021.04.30|22:00:03|-0.7045|0.7545|100
2021.04.30|22:15:03|-0.7045|0.7545|100
2021.04.30|22:30:03|-0.7045|0.7545|100
2021.04.30|22:45:03|-0.7045|0.7545|100
2021.04.30|23:00:03|-0.7045|0.7545|100
2021.04.30|23:15:03|-0.7045|0.7545|100
2021.04.30|23:30:04|-0.7045|0.7545|100
2021.04.30|23:45:02|-0.7045|0.7545|100
2021.05.01|00:00:03|-0.7045|0.7545|100
2021.05.01|00:15:03|-0.7045|0.7545|100
2021.05.01|00:30:03|-0.7045|0.7545|100
2021.05.01|00:45:03|-0.7045|0.7545|100
2021.05.01|01:00:03|-0.7045|0.7545|100
2021.05.01|01:15:03|-0.7045|0.7545|100
2021.05.01|01:30:05|-0.7045|0.7545|100
2021.05.01|01:45:03|-0.7045|0.7545|100
2021.05.01|02:00:03|-0.7045|0.7545|100
2021.05.01|02:15:02|-0.7045|0.7545|100
2021.05.01|02:30:03|-0.7045|0.7545|100
2021.05.01|02:45:03|-0.7045|0.7545|100
2021.05.01|03:00:03|-0.7045|0.7545|100
2021.05.01|03:15:04|-0.7045|0.7545|100
2021.05.01|03:30:03|-0.7045|0.7545|100
2021.05.01|03:45:03|-0.7045|0.7545|100
2021.05.01|04:00:03|-0.7045|0.7545|100
2021.05.01|04:15:03|-0.7045|0.7545|100
2021.05.01|04:30:03|-0.7045|0.7545|100
2021.05.01|04:45:03|-0.7045|0.7545|100
2021.05.01|05:00:03|-0.7045|0.7545|100
2021.05.01|05:15:03|-0.7045|0.7545|100
2021.05.01|05:30:03|-0.7045|0.7545|100
2021.05.01|05:45:03|-0.7045|0.7545|100
2021.05.01|06:00:03|-0.7045|0.7545|100
2021.05.01|06:15:02|-0.7045|0.7545|100
2021.05.01|06:30:03|-0.7045|0.7545|100
2021.05.01|06:45:02|-0.7045|0.7545|100
2021.05.01|07:00:03|-0.7045|0.7545|100
2021.05.01|07:15:03|-0.7045|0.7545|100
2021.05.01|07:30:03|-0.7045|0.7545|100
2021.05.01|07:45:03|-0.7045|0.7545|100
2021.05.01|08:00:04|-0.7045|0.7545|100
2021.05.01|08:15:02|-0.7045|0.7545|100
2021.05.01|08:30:02|-0.7045|0.7545|100
2021.05.01|08:45:03|-0.7045|0.7545|100
2021.05.01|09:00:03|-0.7045|0.7545|100
2021.05.01|09:15:05|-0.7045|0.7545|100
2021.05.01|09:30:02|-0.7045|0.7545|100
2021.05.01|09:45:03|-0.7045|0.7545|100
2021.05.01|10:00:03|-0.7045|0.7545|100
2021.05.01|10:15:03|-0.7045|0.7545|100
2021.05.01|10:30:03|-0.7045|0.7545|100
