DT|TM|REBATE|FEE|AVAIL
2021.03.26|05:30:03|-2.7070|2.7770|30000
2021.03.26|05:45:03|-2.7070|2.7770|30000
2021.03.26|06:00:03|-2.7070|2.7770|30000
2021.03.26|06:15:03|-2.7070|2.7770|30000
2021.03.26|06:30:03|-2.7070|2.7770|30000
2021.03.26|06:45:03|-2.7070|2.7770|30000
2021.03.26|07:00:02|-2.7070|2.7770|35000
2021.03.26|07:15:03|-2.7070|2.7770|35000
2021.03.26|07:30:03|-2.7070|2.7770|35000
2021.03.26|07:45:03|-2.7070|2.7770|35000
2021.03.26|08:00:03|-2.7070|2.7770|35000
2021.03.26|08:15:03|-2.7070|2.7770|35000
2021.03.26|08:30:03|-2.7070|2.7770|35000
2021.03.26|08:45:03|-2.7070|2.7770|35000
2021.03.26|09:00:04|-2.7070|2.7770|35000
2021.03.26|09:15:03|-2.7070|2.7770|35000
2021.03.26|09:30:03|-2.7070|2.7770|35000
2021.03.26|09:45:03|-2.7070|2.7770|40000
2021.03.26|10:00:03|-2.7070|2.7770|40000
2021.03.26|10:15:03|-2.7284|2.7984|40000
2021.03.26|10:30:03|-2.7284|2.7984|40000
2021.03.26|10:45:03|-2.7284|2.7984|40000
2021.03.26|11:00:03|-2.7284|2.7984|40000
2021.03.26|11:15:03|-2.7284|2.7984|40000
2021.03.26|11:30:03|-2.7284|2.7984|40000
2021.03.26|11:45:03|-2.7284|2.7984|40000
2021.03.26|12:00:03|-2.7284|2.7984|40000
2021.03.26|12:15:03|-2.7284|2.7984|40000
2021.03.26|12:30:03|-2.7284|2.7984|40000
2021.03.26|12:45:03|-2.7284|2.7984|40000
2021.03.26|13:00:03|-2.7284|2.7984|40000
2021.03.26|13:15:02|-2.7284|2.7984|40000
2021.03.26|13:30:02|-2.7284|2.7984|40000
2021.03.26|13:45:03|-2.7284|2.7984|40000
2021.03.26|14:00:02|-2.7284|2.7984|40000
2021.03.26|14:15:02|-2.7284|2.7984|40000
2021.03.26|14:30:03|-2.7284|2.7984|40000
2021.03.26|14:45:03|-2.7284|2.7984|40000
2021.03.26|15:00:04|-2.7284|2.7984|40000
2021.03.26|15:15:04|-2.7284|2.7984|35000
2021.03.26|15:30:02|-2.7284|2.7984|35000
2021.03.26|15:45:02|-2.7284|2.7984|35000
2021.03.26|16:00:03|-2.7284|2.7984|35000
2021.03.26|16:15:03|-2.8566|2.9266|35000
2021.03.26|16:30:04|-2.8566|2.9266|35000
2021.03.26|16:45:03|-2.8566|2.9266|35000
2021.03.26|17:00:03|-2.8566|2.9266|35000
2021.03.26|17:15:03|-2.8994|2.9694|35000
2021.03.26|17:30:03|-2.8994|2.9694|35000
2021.03.26|17:45:03|-2.8994|2.9694|35000
2021.03.26|18:00:03|-2.8994|2.9694|35000
2021.03.26|18:15:03|-2.8994|2.9694|35000
2021.03.26|18:30:03|-2.8994|2.9694|35000
2021.03.26|18:45:03|-2.8994|2.9694|35000
2021.03.26|19:00:03|-2.8994|2.9694|35000
2021.03.26|19:15:03|-2.8994|2.9694|35000
2021.03.26|19:30:03|-2.8994|2.9694|35000
2021.03.26|19:45:04|-2.8994|2.9694|35000
2021.03.26|20:00:02|-2.8994|2.9694|35000
2021.03.26|20:15:03|-2.8994|2.9694|35000
2021.03.26|20:30:03|-2.8994|2.9694|35000
2021.03.26|20:45:03|-2.8994|2.9694|35000
2021.03.26|21:00:02|-2.8994|2.9694|35000
2021.03.26|21:15:02|-2.8994|2.9694|35000
2021.03.26|21:30:03|-2.8994|2.9694|35000
2021.03.26|21:45:03|-2.8994|2.9694|35000
2021.03.26|22:00:03|-2.8994|2.9694|35000
2021.03.26|22:15:03|-2.8994|2.9694|35000
2021.03.26|22:30:03|-2.8994|2.9694|35000
2021.03.26|22:45:03|-2.8994|2.9694|35000
2021.03.26|23:00:03|-2.8994|2.9694|35000
2021.03.26|23:15:03|-2.8994|2.9694|35000
2021.03.26|23:30:02|-2.8994|2.9694|35000
2021.03.26|23:45:02|-2.8994|2.9694|35000
2021.03.27|00:00:03|-2.8994|2.9694|35000
2021.03.27|00:15:02|-2.8994|2.9694|35000
2021.03.27|00:30:03|-2.8994|2.9694|35000
2021.03.27|00:45:03|-2.8994|2.9694|35000
2021.03.27|01:00:04|-2.8994|2.9694|35000
2021.03.27|01:15:02|-2.8994|2.9694|35000
2021.03.27|01:30:03|-2.8994|2.9694|35000
