Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210104|GME|2857152|19198|4956196|B,Q,N
20210104|GME|47711|0|64892|B
20210104|GME|518521|5|1053968|N
20210104|GME|2290920|19193|3837336|Q
20210105|GME|766709|21223|2324822|B,Q,N
20210105|GME|4669|0|29585|B
20210105|GME|207936|0|580990|N
20210105|GME|554104|21223|1714247|Q
20210106|GME|865047|15085|2949443|B,Q,N
20210106|GME|22154|0|47705|B
20210106|GME|232678|0|802968|N
20210106|GME|610215|15085|2098770|Q
20210107|GME|1214959|17787|3296877|B,Q,N
20210107|GME|19038|0|24726|B
20210107|GME|270475|0|785411|N
20210107|GME|925446|17787|2486740|Q
20210108|GME|1529124|4537|3515180|B,Q,N
20210108|GME|7478|0|12810|B
20210108|GME|450167|0|989717|N
20210108|GME|1071479|4537|2512653|Q
20210111|GME|4229928|20105|7472327|B,Q,N
20210111|GME|29403|0|67120|B
20210111|GME|1259150|0|2275044|N
20210111|GME|2941375|20105|5130163|Q
20210112|GME|1600574|27607|2937394|B,Q,N
20210112|GME|16221|0|35816|B
20210112|GME|374630|0|812496|N
20210112|GME|1209723|27607|2089082|Q
20210113|GME|46075278|594291|86578862|B,Q,N
20210113|GME|363208|0|740118|B
20210113|GME|12821887|1439|25799324|N
20210113|GME|32890183|592852|60039420|Q
20210114|GME|16957718|158390|53617069|B,Q,N
20210114|GME|405520|0|894939|B
20210114|GME|5749109|44|16193277|N
20210114|GME|10803089|158346|36528853|Q
20210115|GME|8433389|240780|26143320|B,Q,N
20210115|GME|48577|0|199292|B
20210115|GME|2905578|35588|7831758|N
20210115|GME|5479234|205192|18112270|Q
20210119|GME|14785915|541011|44827328|B,Q,N
20210119|GME|194834|0|381397|B
20210119|GME|5353276|102186|13203088|N
20210119|GME|9237805|438825|31242843|Q
20210120|GME|6764533|48173|19581227|B,Q,N
20210120|GME|211565|0|327433|B
20210120|GME|2050728|700|5665635|N
20210120|GME|4502240|47473|13588159|Q
20210121|GME|11420490|108322|35202394|B,Q,N
20210121|GME|257068|0|376021|B
20210121|GME|3892562|1|10757100|N
20210121|GME|7270860|108321|24069273|Q
20210122|GME|33257918|686860|97123046|B,Q,N
20210122|GME|345148|0|627587|B
20210122|GME|8541182|2179|26657316|N
20210122|GME|24371588|684681|69838143|Q
20210125|GME|27342770|393941|72224899|B,Q,N
20210125|GME|78697|0|187491|B
20210125|GME|6034347|711|19909430|N
20210125|GME|21229726|393230|52127978|Q
20210126|GME|27348512|514375|82653297|B,Q,N
20210126|GME|341774|0|664534|B
20210126|GME|7158779|699|25065384|N
20210126|GME|19847959|513676|56923379|Q
20210127|GME|16292827|161900|29923417|B,Q,N
20210127|GME|265205|0|422449|B
20210127|GME|4290227|6083|8375622|N
20210127|GME|11737395|155817|21125346|Q
20210128|GME|9606123|455032|18899860|B,Q,N
20210128|GME|4158|0|17229|B
20210128|GME|1499484|87892|3446553|N
20210128|GME|8102481|367140|15436078|Q
20210129|GME|8814229|527920|16327706|B,Q,N
20210129|GME|129081|0|244697|B
20210129|GME|1854750|231484|3797400|N
20210129|GME|6830398|296436|12285609|Q
20210201|GME|6982444|364890|12820226|B,Q,N
20210201|GME|37957|0|150710|B
20210201|GME|1440464|141132|3042535|N
20210201|GME|5504023|223758|9626981|Q
20210202|GME|16358136|1073011|29733410|B,Q,N
20210202|GME|160804|0|550846|B
20210202|GME|3472720|439772|6991933|N
20210202|GME|12724612|633239|22190631|Q
20210203|GME|9638240|532939|17735739|B,Q,N
20210203|GME|145230|0|358422|B
20210203|GME|2289268|236989|4638518|N
20210203|GME|7203742|295950|12738799|Q
20210204|GME|14272780|869183|28355377|B,Q,N
20210204|GME|313969|0|677772|B
20210204|GME|3318689|166431|7952529|N
20210204|GME|10640122|702752|19725076|Q
20210205|GME|19063724|1106467|34566363|B,Q,N
20210205|GME|343105|0|753081|B
20210205|GME|4667654|348128|9335212|N
20210205|GME|14052965|758339|24478070|Q
20210208|GME|6404809|82425|11348581|B,Q,N
20210208|GME|171151|0|279675|B
20210208|GME|1544286|772|3146982|N
20210208|GME|4689372|81653|7921924|Q
20210209|GME|6516142|277522|12057907|B,Q,N
20210209|GME|104873|0|249210|B
20210209|GME|1567236|67429|3287112|N
20210209|GME|4844033|210093|8521585|Q
20210210|GME|6587323|241069|18257999|B,Q,N
20210210|GME|152892|0|283950|B
20210210|GME|1942435|93139|5015858|N
20210210|GME|4491996|147930|12958191|Q
20210211|GME|2234229|33414|6204532|B,Q,N
20210211|GME|95983|0|150590|B
20210211|GME|673330|160|1723020|N
20210211|GME|1464916|33254|4330922|Q
20210212|GME|2061991|50915|6344511|B,Q,N
20210212|GME|83957|0|152612|B
20210212|GME|519165|0|1404243|N
20210212|GME|1458869|50915|4787656|Q
20210216|GME|2120102|25796|3524621|B,Q,N
20210216|GME|37638|0|78451|B
20210216|GME|435595|0|864300|N
20210216|GME|1646869|25796|2581870|Q
20210217|GME|2155470|24521|3726641|B,Q,N
20210217|GME|37481|0|54427|B
20210217|GME|487964|200|1003517|N
20210217|GME|1630025|24321|2668697|Q
20210218|GME|4429950|42067|10975810|B,Q,N
20210218|GME|24757|0|52954|B
20210218|GME|1175715|4265|2804770|N
20210218|GME|3229478|37802|8118086|Q
20210219|GME|2190404|134794|5817872|B,Q,N
20210219|GME|50693|0|114823|B
20210219|GME|558816|35483|1397327|N
20210219|GME|1580895|99311|4305722|Q
20210222|GME|5477700|95055|8765028|B,Q,N
20210222|GME|100861|0|165213|B
20210222|GME|1210773|100|2204818|N
20210222|GME|4166066|94955|6394997|Q
20210223|GME|1772742|51454|2988339|B,Q,N
20210223|GME|45075|0|66281|B
20210223|GME|411095|18524|749469|N
20210223|GME|1316572|32930|2172589|Q
20210224|GME|11911548|481499|20382816|B,Q,N
20210224|GME|155278|0|339514|B
20210224|GME|2713033|130391|5225073|N
20210224|GME|9043237|351108|14818229|Q
20210225|GME|33187254|560135|58477625|B,Q,N
20210225|GME|508415|0|1043068|B
20210225|GME|8627072|2795|16400429|N
20210225|GME|24051767|557340|41034128|Q
20210226|GME|22264902|1079465|38885329|B,Q,N
20210226|GME|392990|0|713108|B
20210226|GME|4950748|184662|9799467|N
20210226|GME|16921164|894803|28372754|Q
20210301|GME|13711102|757250|24156222|B,Q,N
20210301|GME|178639|0|435203|B
20210301|GME|3495320|177259|6765666|N
20210301|GME|10037143|579991|16955353|Q
20210302|GME|9464355|182373|16947428|B,Q,N
20210302|GME|190035|0|360688|B
20210302|GME|2511517|525|4827634|N
20210302|GME|6762803|181848|11759106|Q
20210303|GME|4740739|89946|8487185|B,Q,N
20210303|GME|96341|0|174381|B
20210303|GME|1111988|400|2159415|N
20210303|GME|3532410|89546|6153389|Q
20210304|GME|8485601|183684|14979778|B,Q,N
20210304|GME|71252|0|121368|B
20210304|GME|1999479|7|3980855|N
20210304|GME|6414870|183677|10877555|Q
20210305|GME|7981187|169653|14161843|B,Q,N
20210305|GME|135303|0|243507|B
20210305|GME|2039898|240|3842342|N
20210305|GME|5805986|169413|10075994|Q
20210308|GME|15269959|280296|28023617|B,Q,N
20210308|GME|315453|0|708271|B
20210308|GME|3909692|4454|7781062|N
20210308|GME|11044814|275842|19534284|Q
20210309|GME|8507752|199017|15009058|B,Q,N
20210309|GME|174263|0|344447|B
20210309|GME|2098500|398|3961336|N
20210309|GME|6234989|198619|10703275|Q
20210310|GME|14924764|738344|26074171|B,Q,N
20210310|GME|351773|0|634309|B
20210310|GME|3473273|197276|6738771|N
20210310|GME|11099718|541068|18701091|Q
20210311|GME|6318428|383095|11113425|B,Q,N
20210311|GME|125054|0|262413|B
20210311|GME|1474401|129760|2768177|N
20210311|GME|4718973|253335|8082835|Q
20210312|GME|5439089|354001|9833047|B,Q,N
20210312|GME|129274|0|287470|B
20210312|GME|1353987|125687|2588813|N
20210312|GME|3955828|228314|6956764|Q
20210315|GME|5750093|297576|10006831|B,Q,N
20210315|GME|64111|0|138916|B
20210315|GME|1472644|101694|2737930|N
20210315|GME|4213338|195882|7129985|Q
20210316|GME|8715265|491574|15041864|B,Q,N
20210316|GME|145498|0|294937|B
20210316|GME|2166455|145585|4054320|N
20210316|GME|6403312|345989|10692607|Q
20210317|GME|3878187|186016|6915251|B,Q,N
20210317|GME|68881|0|138790|B
20210317|GME|1052641|83310|1968850|N
20210317|GME|2756665|102706|4807611|Q
20210318|GME|2996746|51194|4858927|B,Q,N
20210318|GME|74378|0|126395|B
20210318|GME|701707|0|1289679|N
20210318|GME|2220661|51194|3442853|Q
20210319|GME|6421981|132316|10769625|B,Q,N
20210319|GME|129864|0|256625|B
20210319|GME|1429107|136|2647827|N
20210319|GME|4863010|132180|7865173|Q
20210322|GME|2358752|33094|3843634|B,Q,N
20210322|GME|45618|0|77652|B
20210322|GME|539315|11|996744|N
20210322|GME|1773819|33083|2769238|Q
20210323|GME|2835124|33212|4548007|B,Q,N
20210323|GME|46774|0|82557|B
20210323|GME|717542|185|1261995|N
20210323|GME|2070808|33027|3203455|Q
20210324|GME|5921699|374547|9828116|B,Q,N
20210324|GME|93382|0|196828|B
20210324|GME|1261967|86728|2393535|N
20210324|GME|4566350|287819|7237753|Q
20210325|GME|12591492|473500|21672008|B,Q,N
20210325|GME|268910|0|595539|B
20210325|GME|3124283|201857|5816280|N
20210325|GME|9198299|271643|15260189|Q
20210326|GME|10038012|297653|16664120|B,Q,N
20210326|GME|255657|0|522595|B
20210326|GME|2257287|22142|4360916|N
20210326|GME|7525068|275511|11780609|Q
20210329|GME|2927293|122400|4668884|B,Q,N
20210329|GME|45053|0|99018|B
20210329|GME|609683|46419|1122239|N
20210329|GME|2272557|75981|3447627|Q
20210330|GME|4636499|72753|8249652|B,Q,N
20210330|GME|102161|0|199533|B
20210330|GME|1055984|300|2089594|N
20210330|GME|3478354|72453|5960525|Q
20210331|GME|2300830|42403|4020123|B,Q,N
20210331|GME|34570|0|81507|B
20210331|GME|574712|0|1036244|N
20210331|GME|1691548|42403|2902372|Q
20210401|GME|2454791|35127|4164588|B,Q,N
20210401|GME|53676|0|100800|B
20210401|GME|487817|0|977741|N
20210401|GME|1913298|35127|3086047|Q
20210405|GME|2457391|148702|5136882|B,Q,N
20210405|GME|51033|0|122722|B
20210405|GME|479990|49199|1106964|N
20210405|GME|1926368|99503|3907196|Q
20210406|GME|1064534|94487|2478732|B,Q,N
20210406|GME|27851|0|60996|B
20210406|GME|250657|24280|594533|N
20210406|GME|786026|70207|1823203|Q
20210407|GME|970556|14388|2048159|B,Q,N
20210407|GME|20539|0|39962|B
20210407|GME|168530|0|424735|N
20210407|GME|781487|14388|1583462|Q
20210408|GME|1705719|27124|4461564|B,Q,N
20210408|GME|50910|0|91086|B
20210408|GME|358182|0|928144|N
20210408|GME|1296627|27124|3442334|Q
20210409|GME|1813873|84560|4768225|B,Q,N
20210409|GME|49924|0|94769|B
20210409|GME|421430|19789|1069108|N
20210409|GME|1342519|64771|3604348|Q
20210412|GME|2881366|177012|7638755|B,Q,N
20210412|GME|77791|0|155979|B
20210412|GME|638644|73756|1547483|N
20210412|GME|2164931|103256|5935293|Q
20210413|GME|1279151|78402|3028223|B,Q,N
20210413|GME|17422|0|58276|B
20210413|GME|284240|34605|742483|N
20210413|GME|977489|43797|2227464|Q
20210414|GME|4552746|122256|10980493|B,Q,N
20210414|GME|178044|0|359940|B
20210414|GME|1127783|93|2816883|N
20210414|GME|3246919|122163|7803670|Q
20210415|GME|1514841|37135|3656417|B,Q,N
20210415|GME|42109|0|89296|B
20210415|GME|397798|0|952117|N
20210415|GME|1074934|37135|2615004|Q
20210416|GME|991315|37243|2408031|B,Q,N
20210416|GME|22520|0|43287|B
20210416|GME|227915|0|663887|N
20210416|GME|740880|37243|1700857|Q
20210419|GME|2554488|43480|4458016|B,Q,N
20210419|GME|47588|0|99414|B
20210419|GME|538232|0|1020331|N
20210419|GME|1968668|43480|3338271|Q
20210420|GME|1094062|11648|1953969|B,Q,N
20210420|GME|22606|0|38459|B
20210420|GME|207596|1|437753|N
20210420|GME|863860|11647|1477757|Q
20210421|GME|887732|10128|1603415|B,Q,N
20210421|GME|18894|0|32785|B
20210421|GME|201292|0|401979|N
20210421|GME|667546|10128|1168651|Q
20210422|GME|949267|15770|1669430|B,Q,N
20210422|GME|19963|0|34009|B
20210422|GME|192562|0|411909|N
20210422|GME|736742|15770|1223512|Q
20210423|GME|1009081|25383|1822676|B,Q,N
20210423|GME|12563|0|29253|B
20210423|GME|191023|52|417365|N
20210423|GME|805495|25331|1376058|Q
20210426|GME|2558524|34887|4434680|B,Q,N
20210426|GME|77622|0|126450|B
20210426|GME|555496|37|1154727|N
20210426|GME|1925406|34850|3153503|Q
20210427|GME|2291953|44637|3972777|B,Q,N
20210427|GME|53762|0|94645|B
20210427|GME|449132|16|867900|N
20210427|GME|1789059|44621|3010232|Q
20210428|GME|1420847|32918|2528395|B,Q,N
20210428|GME|26086|0|49453|B
20210428|GME|282801|2|589938|N
20210428|GME|1111960|32916|1889004|Q
20210429|GME|904103|18035|1539422|B,Q,N
20210429|GME|17921|0|29988|B
20210429|GME|185722|0|386081|N
20210429|GME|700460|18035|1123353|Q
20210430|GME|1018219|22607|1833319|B,Q,N
20210430|GME|24335|0|45010|B
20210430|GME|243923|137|446177|N
20210430|GME|749961|22470|1342132|Q
20210503|GME|1269098|45626|2216581|B,Q,N
20210503|GME|27887|0|47071|B
20210503|GME|264689|107|500990|N
20210503|GME|976522|45519|1668520|Q
20210504|GME|1039546|26488|1744786|B,Q,N
20210504|GME|7|0|7|B
20210504|GME|190569|0|393735|N
20210504|GME|848970|26488|1351044|Q
20210505|GME|664818|14531|1158981|B,Q,N
20210505|GME|10554|0|17385|B
20210505|GME|139454|0|292737|N
20210505|GME|514810|14531|848859|Q
20210506|GME|627100|28830|1047851|B,Q,N
20210506|GME|15581|0|21523|B
20210506|GME|116936|0|233432|N
20210506|GME|494583|28830|792896|Q
20210507|GME|615029|13688|1080447|B,Q,N
20210507|GME|12009|0|22774|B
20210507|GME|114608|0|249545|N
20210507|GME|488412|13688|808128|Q
20210510|GME|1077620|30563|1684849|B,Q,N
20210510|GME|27285|0|42790|B
20210510|GME|194264|8446|385329|N
20210510|GME|856071|22117|1256730|Q
20210511|GME|1034642|42990|1694663|B,Q,N
20210511|GME|17316|0|36567|B
20210511|GME|200411|19163|394136|N
20210511|GME|816915|23827|1263960|Q
20210512|GME|689988|3786|1044003|B,Q,N
20210512|GME|12975|0|16499|B
20210512|GME|137174|46|248749|N
20210512|GME|539839|3740|778755|Q
20210513|GME|2236202|21254|3683710|B,Q,N
20210513|GME|45737|0|75006|B
20210513|GME|371429|0|845754|N
20210513|GME|1819036|21254|2762950|Q
20210514|GME|945151|19326|1647491|B,Q,N
20210514|GME|21696|0|38000|B
20210514|GME|178981|0|387394|N
20210514|GME|744474|19326|1222097|Q
20210517|GME|1822852|41940|3118226|B,Q,N
20210517|GME|51631|0|86338|B
20210517|GME|306965|0|594487|N
20210517|GME|1464256|41940|2437401|Q
20210518|GME|1886450|30337|3259477|B,Q,N
20210518|GME|36250|0|73682|B
20210518|GME|389165|47|732664|N
20210518|GME|1461035|30290|2453131|Q
20210519|GME|1126218|8784|1709099|B,Q,N
20210519|GME|26529|0|41702|B
20210519|GME|155171|0|313862|N
20210519|GME|944518|8784|1353535|Q
20210520|GME|558337|9536|942653|B,Q,N
20210520|GME|14931|0|25156|B
20210520|GME|102621|0|218039|N
20210520|GME|440785|9536|699458|Q
20210521|GME|780099|19473|1401134|B,Q,N
20210521|GME|27413|0|41068|B
20210521|GME|164286|0|324036|N
20210521|GME|588400|19473|1036030|Q
20210524|GME|1103583|32123|1971424|B,Q,N
20210524|GME|35514|0|57405|B
20210524|GME|202834|0|434231|N
20210524|GME|865235|32123|1479788|Q
20210525|GME|3608896|60006|6443143|B,Q,N
20210525|GME|95559|0|171931|B
20210525|GME|582131|0|1379556|N
20210525|GME|2931206|60006|4891656|Q
20210526|GME|4629662|90104|8202580|B,Q,N
20210526|GME|112448|0|209684|B
20210526|GME|821076|0|1785954|N
20210526|GME|3696138|90104|6206942|Q
20210527|GME|3453765|64860|6150742|B,Q,N
20210527|GME|101451|0|177709|B
20210527|GME|592351|0|1291295|N
20210527|GME|2759963|64860|4681738|Q
