symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME211008C00010000||||159.58|159.58|31|0.00|0.0000|0|3|0|0|1.0000|0.0000|0.0003|0.0000|0.0000||165.85|10|161.80|21
GME211008P00010000||||0.01|0.01|31|0.00|0.0000|0|59|0|0|-0.0026|0.0000|-0.0002|-0.1164|0.0021||0.01|128|0.00|0
GME211008C00020000||||158.46|158.46|30|0.00|0.0000|0|0|0|0|0.9866|0.0001|0.0034|-0.5413|0.0088||155.85|10|151.80|21
GME211008P00020000||||||30||0.0000|0|0|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211008C00030000||||142.00|142.00|29|0.00|0.0000|0|0|0|0|1.0000|0.0000|0.0066|-0.0001|0.0000||145.85|10|141.80|21
GME211008P00030000||||0.01|0.01|29|0.00|0.0000|0|40|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211008C00040000||||||28||0.0000|0|0|0|0|1.0000|0.0000|0.0333|0.0000|0.0000||135.85|10|131.80|21
GME211008P00040000||||0.01|0.01|28|0.00|0.0000|0|914|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211008C00050000||||151.12|151.12|27|0.00|0.0000|0|0|0|0|0.9960|0.0001|0.0013|-0.5260|0.0011||125.80|27|121.80|27
GME211008P00050000|0.01|0.01|0.01|0.01|0.01|27|0.00|0.0000|-4|183|4|4|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211008C00060000||||113.78|113.78|26|0.00|0.0000|0|0|0|0|0.9930|0.0002|0.0016|-0.8066|0.0018||115.80|27|112.05|27
GME211008P00060000||||0.03|0.03|26|0.00|0.0000|0|1|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211008C00070000||||||25||0.0000|0|0|0|0|-0.8298|0.0273|-0.0042|-1.1721|0.0230||105.80|27|101.80|27
