symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME220121C00000500||||123.50|123.50|47|||0|6|0|0|1.0000|0.0000|0.0016|0.0000|0.0000||113.35|10|106.00|27
GME220121P00000500|0.01|0.01|0.01|0.01|0.01|47|||-100|136202|1|1|0.0000|0.0000|0.0000|-0.0011|0.0000||0.01|3711|0.00|0
GME220121C00001000||||133.25|133.25|46|||0|3|0|0|1.0000|0.0000|0.0016|0.0000|0.0000||112.15|12|105.50|27
GME220121P00001000||||0.01|0.01|46|||0|29683|0|0|0.0000|0.0000|0.0000|-0.0016|0.0000||0.01|2174|0.00|0
GME220121C00001500||||306.50|306.50|45|||0|0|0|0|1.0000|0.0000|0.0017|0.0000|0.0000||112.35|12|105.00|16
GME220121P00001500||||0.01|0.01|45|||0|4325|0|0|0.0000|0.0000|0.0000|-0.0020|0.0000||0.01|2500|0.00|0
GME220121C00002000||||198.86|198.86|44|||0|1|0|0|1.0000|0.0000|0.0017|-0.0002|0.0000||111.85|10|104.50|27
GME220121P00002000||||0.01|0.01|44|||0|16684|0|0|-0.0001|0.0000|0.0000|-0.0024|0.0000||0.01|120|0.00|0
GME220121C00002500||||129.35|129.35|43|||0|0|0|0|1.0000|0.0000|0.0017|-0.0006|0.0000||111.35|17|104.00|27
GME220121P00002500||||0.01|0.01|43|||0|4337|0|0|-0.0001|0.0000|0.0000|-0.0028|0.0000||0.01|719|0.00|0
GME220121C00003000||||172.47|172.47|42|||0|0|0|0|1.0000|0.0000|0.0018|-0.0009|0.0000||110.00|14|103.50|16
GME220121P00003000||||0.01|0.01|42|||0|6342|0|0|-0.0001|0.0000|0.0000|-0.0031|0.0000||0.01|2965|0.00|0
GME220121C00003500||||160.90|160.90|41|||0|0|0|0|1.0000|0.0000|0.0018|-0.0013|0.0000||110.35|12|103.00|27
GME220121P00003500||||0.01|0.01|41|||0|1962|0|0|-0.0001|0.0000|0.0000|-0.0034|0.0000||0.01|2781|0.00|0
GME220121C00004000||||198.45|198.45|40|||0|3|0|0|0.9999|0.0000|0.0018|-0.0016|0.0000||109.00|14|102.50|16
GME220121P00004000||||0.01|0.01|40|||0|4913|0|0|-0.0001|0.0000|0.0000|-0.0038|0.0000||0.01|599|0.00|0
GME220121C00004500||||143.61|143.61|39|||0|52|0|0|0.9999|0.0000|0.0019|-0.0019|0.0000||109.35|17|102.00|27
GME220121P00004500||||0.01|0.01|39|||0|2005|0|0|-0.0001|0.0000|0.0000|-0.0041|0.0001||0.01|100|0.00|0
GME220121C00005000||||142.93|142.93|38|||0|216|0|0|0.9999|0.0000|0.0019|-0.0022|0.0001||107.85|13|101.50|12
GME220121P00005000||||0.01|0.01|38|||-1|14210|0|0|-0.0001|0.0000|0.0000|-0.0044|0.0001||0.01|246|0.00|0
GME220121C00005500||||38.00|38.00|37|||0|0|0|0|0.9999|0.0000|0.0019|-0.0026|0.0001||107.90|12|101.00|27
GME220121P00005500||||0.01|0.01|37|||0|2749|0|0|-0.0002|0.0000|0.0000|-0.0047|0.0001||0.01|268|0.00|0
GME220121C00007000||||176.00|176.00|36|||0|8|0|0|0.9999|0.0000|0.0021|-0.0035|0.0001||106.00|14|99.50|16
GME220121P00007000||||0.01|0.01|36|||0|3620|0|0|-0.0002|0.0000|0.0000|-0.0056|0.0001||0.01|102|0.00|0
GME220121C00010000||||135.00|135.00|35|||0|88|0|0|0.9997|0.0000|0.0023|-0.0054|0.0001||103.00|14|96.50|16
GME220121P00010000||||0.01|0.01|35|||0|8498|0|0|-0.0003|0.0000|0.0000|-0.0074|0.0001||0.01|21|0.00|0
GME220121C00012000||||173.63|173.63|34|||0|8|0|0|0.9997|0.0000|0.0024|-0.0067|0.0001||101.85|10|94.50|27
GME220121P00012000||||0.01|0.01|34|||0|1329|0|0|-0.0004|0.0000|0.0000|-0.0086|0.0001||0.01|30|0.00|0
GME220121C00015000||||113.39|113.39|33|||0|1744|0|0|0.9995|0.0000|0.0027|-0.0087|0.0002||97.85|13|91.50|17
GME220121P00015000|0.01|0.01|0.01|0.01|0.01|33|||0|6482|7|10|-0.0005|0.0000|0.0000|-0.0106|0.0002||0.02|17|0.00|0
