symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME210401C00005000||||189.00|189.00|50||0.0000|0|16|0|0|1.0000|0.0000|0.0001|0.0000|0.0000||187.95|16|181.60|33
GME210401P00005000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|1|9270|1|2|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1745|0.00|0
GME210401C00010000||||187.70|187.70|50||0.0000|0|17|0|0|1.0000|0.0000|0.0003|0.0000|0.0000||182.95|16|176.60|41
GME210401P00010000||||0.01|0.01|50||0.0000|-4|3759|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|431|0.00|0
GME210401C00015000||||180.90|180.90|50||0.0000|-25|3|0|0|1.0000|0.0000|0.0004|0.0000|0.0000||178.80|15|171.60|34
GME210401P00015000||||0.01|0.01|50||0.0000|-2|3662|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|309|0.00|0
GME210401C00020000|167.99|167.99|167.99|176.10|167.99|50|-8.11|-0.0461|-2|8|1|1|1.0000|0.0000|0.0005|-0.0001|0.0000||173.80|15|166.60|55
GME210401P00020000||||0.01|0.01|50|0.00|0.0000|6|3963|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|481|0.00|0
GME210401C00025000||||156.85|156.85|50||0.0000|0|24|0|0|1.0000|0.0000|0.0007|-0.0001|0.0000||168.85|15|161.60|56
GME210401P00025000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|0|1822|15|23|0.0000|0.0000|0.0000|-0.0005|0.0000||0.01|77|0.00|0
GME210401C00030000||||164.10|164.10|50||0.0000|-6|7|0|0|1.0000|0.0000|0.0008|-0.0001|0.0000||163.80|15|156.60|43
GME210401P00030000|0.02|0.02|0.01|0.01|0.01|50|0.00|0.0000|54|1821|1|11|0.0000|0.0000|0.0000|-0.0005|0.0000||0.01|30|0.00|0
GME210401C00035000||||154.80|154.80|50||0.0000|2|6|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||157.95|16|151.60|33
GME210401P00035000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|-6|1297|1|1|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|54|0.00|0
GME210401C00040000||||155.50|155.50|50|0.00|0.0000|-1|39|0|0|1.0000|0.0000|0.0011|-0.0030|0.0000||152.50|16|146.60|92
GME210401P00040000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|192|2312|1|31|-0.0004|0.0000|0.0000|-0.0707|0.0001||0.01|163|0.00|0
GME210401C00040500||||154.15|154.15|50||0.0000|0|31|0|0|1.0000|0.0000|0.0011|-0.0001|0.0000||152.40|12|146.10|91
GME210401P00040500|0.01|0.01|0.01|0.01|0.01|50||0.0000|43|586|2|2|-0.0004|0.0000|0.0000|-0.0706|0.0001||0.02|100|0.00|0
GME210401C00041000||||147.70|147.70|50|0.00|0.0000|13|21|0|0|1.0000|0.0000|0.0011|-0.0039|0.0000||152.00|12|145.60|91
GME210401P00041000||||0.01|0.01|50||0.0000|5|357|0|0|-0.0004|0.0000|0.0000|-0.0706|0.0001||0.01|52|0.00|0
GME210401C00041500|145.06|145.06|145.06|153.25|145.06|50|-8.19|-0.0534|0|7|1|1|0.9999|0.0000|0.0011|-0.0119|0.0000||151.75|27|145.10|71
GME210401P00041500||||0.01|0.01|50||0.0000|0|101|0|0|-0.0004|0.0000|0.0000|-0.0705|0.0001||0.01|3|0.00|0
GME210401C00042000||||155.45|155.45|50|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0012|-0.0001|0.0000||151.05|27|144.60|66
GME210401P00042000||||0.02|0.02|50||0.0000|-1|196|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1|0.00|0
GME210401C00042500||||145.35|145.35|50|0.00|0.0000|0|12|0|0|1.0000|0.0000|0.0012|-0.0001|0.0000||150.45|15|144.10|72
GME210401P00042500||||0.01|0.01|50||0.0000|0|103|0|0|-0.0004|0.0000|0.0000|-0.0704|0.0002||0.01|6|0.00|0
GME210401C00043000||||144.85|144.85|50|0.00|0.0000|0|6|0|0|1.0000|0.0000|0.0012|-0.0001|0.0000||149.95|12|143.60|66
