symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME210416C00000500||||160.00|160.00|50|0.00|0.0000|-1|3|0|0|1.0000|0.0000|0.0000|0.0000|0.0000||156.10|3|153.20|30
GME210416P00000500||||0.01|0.01|50|0.00|0.0000|0|60145|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|3507|0.00|0
GME210416C00001000||||166.90|166.90|50|0.00|0.0000|10|15|0|0|1.0000|0.0000|0.0001|0.0000|0.0000||155.60|3|152.70|30
GME210416P00001000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|0|18883|1|1|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1874|0.00|0
GME210416C00001500|156.00|156.00|156.00|158.75|156.00|50|-2.75|-0.0173|5|5|2|5|1.0000|0.0000|0.0001|0.0000|0.0000||154.85|16|152.65|15
GME210416P00001500||||0.01|0.01|50|0.00|0.0000|0|7238|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1500|0.00|0
GME210416C00002000||||173.50|173.50|50|0.00|0.0000|0|2|0|0|1.0000|0.0000|0.0001|0.0000|0.0000||154.60|3|151.70|30
GME210416P00002000||||0.01|0.01|50|0.00|0.0000|0|7791|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1500|0.00|0
GME210416C00002500||||174.35|174.35|50|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0001|0.0000|0.0000||154.10|3|151.20|30
GME210416P00002500||||0.01|0.01|50|0.00|0.0000|0|8736|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1000|0.00|0
GME210416C00003000||||162.40|162.40|50|0.00|0.0000|1|1|0|0|1.0000|0.0000|0.0002|0.0000|0.0000||153.60|3|150.70|30
GME210416P00003000||||0.01|0.01|50|0.00|0.0000|0|11022|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1493|0.00|0
GME210416C00003500||||141.45|141.45|50|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0002|0.0000|0.0000||152.85|21|150.70|16
GME210416P00003500||||0.01|0.01|50|0.00|0.0000|0|2103|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|499|0.00|0
GME210416C00004000||||172.45|172.45|50|0.00|0.0000|0|2|0|0|1.0000|0.0000|0.0002|0.0000|0.0000||152.35|21|150.20|16
GME210416P00004000||||0.01|0.01|50|0.00|0.0000|0|5856|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|508|0.00|0
GME210416C00004500||||175.40|175.40|50|0.00|0.0000|0|2|0|0|1.0000|0.0000|0.0002|0.0000|0.0000||151.85|21|149.70|16
GME210416P00004500||||0.01|0.01|50|0.00|0.0000|0|6301|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME210416C00005000||||174.60|174.60|50|0.00|0.0000|0|4|0|0|1.0000|0.0000|0.0003|0.0000|0.0000||151.35|21|149.20|16
GME210416P00005000||||0.01|0.01|50|0.00|0.0000|-2|30016|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|471|0.00|0
GME210416C00005500||||154.05|154.05|50|0.00|0.0000|0|6|0|0|1.0000|0.0000|0.0003|0.0000|0.0000||150.85|21|148.70|16
GME210416P00005500||||0.01|0.01|50|0.00|0.0000|0|7191|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|49|0.00|0
GME210416C00006000||||138.95|138.95|50|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0003|0.0000|0.0000||150.35|21|148.20|16
GME210416P00006000||||0.01|0.01|50|0.00|0.0000|0|7454|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|81|0.00|0
GME210416C00007000||||173.00|173.00|50|0.00|0.0000|0|23|0|0|1.0000|0.0000|0.0004|0.0000|0.0000||149.35|21|147.20|16
GME210416P00007000||||0.01|0.01|50|0.00|0.0000|0|8407|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|36|0.00|0
GME210416C00008000||||171.65|171.65|50|0.00|0.0000|0|0|0|0|1.0000|0.0000|0.0004|0.0000|0.0000||148.35|21|146.20|16
GME210416P00008000||||0.01|0.01|50|0.00|0.0000|0|7970|0|0|0.0000|0.0000|0.0000|-0.0003|0.0000||0.01|74|0.00|0
GME210416C00009000||||171.40|171.40|50|0.00|0.0000|-1|16|0|0|1.0000|0.0000|0.0005|0.0000|0.0000||147.35|21|145.20|16
GME210416P00009000||||0.01|0.01|50|0.00|0.0000|0|4593|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|20|0.00|0
GME210416C00010000||||142.25|142.25|50|0.00|0.0000|3|32|0|0|1.0000|0.0000|0.0005|0.0000|0.0000||146.35|21|144.20|16
GME210416P00010000||||0.01|0.01|50|0.00|0.0000|-2|34420|0|0|0.0000|0.0000|0.0000|-0.0027|0.0000||0.01|1573|0.00|0
GME210416C00011000||||168.95|168.95|50|0.00|0.0000|0|7|0|0|1.0000|0.0000|0.0006|0.0000|0.0000||145.35|21|143.20|16
GME210416P00011000||||0.01|0.01|50|0.00|0.0000|0|3736|0|0|0.0000|0.0000|0.0000|-0.0026|0.0000||0.01|436|0.00|0
GME210416C00012000||||148.20|148.20|50|0.00|0.0000|-2|544|0|0|1.0000|0.0000|0.0007|0.0000|0.0000||144.35|21|142.15|18
GME210416P00012000||||0.01|0.01|50|0.00|0.0000|0|2520|0|0|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|35|0.00|0
GME210416C00013000||||129.15|129.15|50|0.00|0.0000|0|42|0|0|1.0000|0.0000|0.0007|0.0000|0.0000||143.35|21|141.15|18
GME210416P00013000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|0|1329|3|3|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|37|0.00|0
GME210416C00014000||||137.02|137.02|50|0.00|0.0000|-2|52|0|0|1.0000|0.0000|0.0008|0.0000|0.0000||142.35|21|140.15|18
GME210416P00014000||||0.01|0.01|50|0.00|0.0000|-1|1461|0|0|0.0000|0.0000|0.0000|-0.0005|0.0000||0.01|20|0.00|0
GME210416C00015000||||141.65|141.65|50|0.00|0.0000|0|215|0|0|0.9998|0.0000|0.0008|-0.0208|0.0001||141.35|21|139.15|18
GME210416P00015000||||0.01|0.01|50|0.00|0.0000|0|6362|0|0|0.0000|0.0000|0.0000|-0.0023|0.0000||0.01|20|0.00|0
GME210416C00016000||||146.70|146.70|50|0.00|0.0000|0|29|0|0|0.9998|0.0000|0.0009|-0.0205|0.0001||140.35|21|138.20|16
GME210416P00016000||||0.01|0.01|50|0.00|0.0000|0|2411|0|0|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|20|0.00|0
GME210416C00017000||||119.35|119.35|50|0.00|0.0000|-2|61|0|0|0.9998|0.0000|0.0009|-0.0202|0.0001||139.35|21|137.20|16
GME210416P00017000||||0.01|0.01|50|0.00|0.0000|0|944|0|0|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|20|0.00|0
GME210416C00018000||||146.05|146.05|50|0.00|0.0000|-3|157|0|0|0.9998|0.0000|0.0010|-0.0199|0.0001||138.35|21|136.20|16
GME210416P00018000||||0.01|0.01|50|0.00|0.0000|0|1365|0|0|0.0000|0.0000|0.0000|-0.0021|0.0000||0.01|10|0.00|0
GME210416C00019000||||148.85|148.85|50|0.00|0.0000|0|151|0|0|0.9998|0.0000|0.0010|-0.0196|0.0001||137.35|21|135.15|18
GME210416P00019000||||0.01|0.01|50|0.00|0.0000|0|1086|0|0|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|10|0.00|0
GME210416C00020000||||121.35|121.35|50|0.00|0.0000|-10|427|0|0|0.9998|0.0000|0.0011|-0.0193|0.0001||136.35|21|134.20|16
